,Abbreviation,EndDate,ID,Language,LegislativePeriodNumber,Modified,SessionName,SessionNumber,StartDate,Title,Type,TypeName
106,SO90,1990-06-22T00:00:00,4313,FR,43,2011-03-18T17:02:07.727,Session d'été 1990,13,1990-06-05T00:00:00,,2,Sessions ordinaires  (durée 3 semaines)
107,SS02,2002-06-21T00:00:00,4614,FR,46,2011-03-18T17:02:07.73,Session d'été 2002,14,2002-06-03T00:00:00,II/2002,2,Sessions ordinaires  (durée 3 semaines)
108,SO96,1996-06-21T00:00:00,4503,FR,45,2013-07-25T08:46:10.447,Session d'été 1996,3,1996-06-03T00:00:00,,2,Sessions ordinaires  (durée 3 semaines)
109,WS10,2010-12-17T00:00:00,4816,FR,48,2011-03-18T17:02:07.737,Session d'hiver 2010,16,2010-11-29T00:00:00,IV/2010,2,Sessions ordinaires  (durée 3 semaines)
110,SS01,2001-06-22T00:00:00,4608,FR,46,2013-07-25T08:42:01.967,Session d'été 2001,8,2001-06-05T00:00:00,,2,Sessions ordinaires  (durée 3 semaines)
111,HS02,2002-10-04T00:00:00,4615,FR,46,2011-03-18T17:02:07.74,Session d'automne 2002,15,2002-09-16T00:00:00,III/2002,2,Sessions ordinaires  (durée 3 semaines)
112,WI98,1998-12-18T00:00:00,4516,FR,45,2013-07-25T08:44:40.77,Session d'hiver 1998,16,1998-11-30T00:00:00,,2,Sessions ordinaires  (durée 3 semaines)
113,SoAvril02,2002-04-17T00:00:00,4613,FR,46,2013-07-25T09:24:44.623,Session spéciale avril 2002,13,2002-04-15T00:00:00,,3,Session spéciale (durée 1 semaine)
114,FS08,2008-03-20T00:00:00,4802,FR,48,2011-03-18T17:02:07.743,Session de printemps 2008,2,2008-03-03T00:00:00,I/2008,2,Sessions ordinaires  (durée 3 semaines)
115,au99,1999-09-02T00:00:00,4520,FR,45,2013-07-25T09:18:43.98,Session spéciale août 1999,20,1999-08-30T00:00:00,,3,Session spéciale (durée 1 semaine)
116,WS08,2008-12-19T00:00:00,4806,FR,48,2011-03-18T17:02:07.75,Session d'hiver 2008,6,2008-12-01T00:00:00,IV/2008,2,Sessions ordinaires  (durée 3 semaines)
117,FS02,2002-03-22T00:00:00,4612,FR,46,2013-07-25T08:42:01.97,Session de printemps 2002,12,2002-03-04T00:00:00,,2,Sessions ordinaires  (durée 3 semaines)
118,AUG92,1992-09-03T00:00:00,4405,FR,44,2013-07-25T09:14:14.937,Session spéciale août 1992,5,1992-08-24T00:00:00,,3,Session spéciale (durée 1 semaine)
119,WS00,2000-12-15T00:00:00,4605,FR,46,2013-07-25T08:42:01.97,Session d'hiver 2000,5,2000-11-27T00:00:00,,2,Sessions ordinaires  (durée 3 semaines)
120,WS-05,2005-12-16T00:00:00,4710,FR,47,2011-03-18T17:02:07.753,Session d'hiver 2005,10,2005-11-28T00:00:00,IV/2005,2,Sessions ordinaires  (durée 3 semaines)
121,FS04,2004-03-19T00:00:00,4702,FR,47,2011-03-18T17:02:07.757,Session de printemps 2004,2,2004-03-01T00:00:00,I/2004,2,Sessions ordinaires  (durée 3 semaines)
122,SO95,1995-06-23T00:00:00,4419,FR,44,2013-07-25T08:46:55.277,Session d'été 1995,19,1995-06-06T00:00:00,,2,Sessions ordinaires  (durée 3 semaines)
123,SO92,1992-06-19T00:00:00,4404,FR,44,2013-07-25T08:53:03.11,Session d'été 1992,4,1992-06-01T00:00:00,,2,Sessions ordinaires  (durée 3 semaines)
124,HE94,1994-10-07T00:00:00,4415,FR,44,2013-07-25T08:48:19.967,Session d'automne 1994,15,1994-09-19T00:00:00,,2,Sessions ordinaires  (durée 3 semaines)
125,SS99,1999-06-18T00:00:00,4519,FR,45,2013-07-25T08:43:19.33,Session d'été 1999,19,1999-05-31T00:00:00,,2,Sessions ordinaires  (durée 3 semaines)
126,WI91,1991-12-13T00:00:00,4401,FR,44,2013-07-25T08:53:51.7,Session d'hiver 1991,1,1991-11-25T00:00:00,,2,Sessions ordinaires  (durée 3 semaines)
127,FS05,2005-03-18T00:00:00,4707,FR,47,2011-03-18T17:02:07.767,Session de printemps 2005,7,2005-02-28T00:00:00,I/2005,2,Sessions ordinaires  (durée 3 semaines)
128,SA98,1998-04-30T00:00:00,4513,FR,45,2013-07-25T09:18:43.98,Session spéciale avril 1998,13,1998-04-27T00:00:00,,3,Session spéciale (durée 1 semaine)
129,SS07,2007-06-22T00:00:00,4717,FR,47,2011-03-18T17:02:07.77,Session d'été 2007,17,2007-06-04T00:00:00,II/2007,2,Sessions ordinaires  (durée 3 semaines)
130,WI93,1993-12-17T00:00:00,4412,FR,44,2013-07-25T08:49:27.07,Session d'hiver 1993,12,1993-11-29T00:00:00,,2,Sessions ordinaires  (durée 3 semaines)
131,FS98,1998-03-20T00:00:00,4512,FR,45,2013-07-25T08:44:40.773,Session de printemps 1998,12,1998-03-02T00:00:00,,2,Sessions ordinaires  (durée 3 semaines)
132,FS03,2003-03-21T00:00:00,4617,FR,46,2011-03-18T17:02:07.777,Session de printemps 2003,17,2003-03-03T00:00:00,I/2003,2,Sessions ordinaires  (durée 3 semaines)
133,FS07,2007-03-23T00:00:00,4716,FR,47,2011-03-18T17:02:07.78,Session de printemps 2007,16,2007-03-05T00:00:00,I/2007,2,Sessions ordinaires  (durée 3 semaines)
